CUPS:,ESXXXXXXXXXXXXXX
Fecha inicio:,dd/mm/yyyy
Fecha fin:,dd/mm/yyyy
Fecha y hora de extracción:,dd/mm/yyyy hh:mm:ss
Tarifa:,One luz xxxx

Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2021-06-12,12:00-13:00,556,0,0
2021-06-12,13:00-14:00,1424,0,0
2021-06-12,14:00-15:00,974,0,0
2021-06-12,15:00-16:00,287,0,0
2021-06-12,16:00-17:00,376,0,0
2021-06-12,17:00-18:00,563,0,0
2021-06-12,18:00-19:00,175,0,0
2021-06-12,19:00-20:00,269,0,0
2021-06-12,20:00-21:00,585,0,0
2021-06-12,21:00-22:00,517,0,0
2021-06-12,22:00-23:00,999,0,0
2021-06-12,23:00-00:00,536,0,0

2021-06-13,00:00-01:00,241,0,0
2021-06-13,01:00-02:00,127,0,0
2021-06-13,02:00-03:00,85,0,0
2021-06-13,03:00-04:00,177,0,0
2021-06-13,04:00-05:00,162,0,0
2021-06-13,05:00-06:00,78,0,0
2021-06-13,06:00-07:00,477,0,0
2021-06-13,07:00-08:00,116,0,0
2021-06-13,08:00-09:00,283,0,0
2021-06-13,09:00-10:00,369,0,0
2021-06-13,10:00-11:00,366,0,0
2021-06-13,11:00-12:00,1099,0,0
2021-06-13,12:00-13:00,267,0,0
2021-06-13,13:00-14:00,304,0,0
2021-06-13,14:00-15:00,268,0,0
2021-06-13,15:00-16:00,315,0,0
2021-06-13,16:00-17:00,430,0,0
2021-06-13,17:00-18:00,227,0,0
2021-06-13,18:00-19:00,294,0,0
2021-06-13,19:00-20:00,243,0,0
2021-06-13,20:00-21:00,257,0,0
2021-06-13,21:00-22:00,624,0,0
2021-06-13,22:00-23:00,1040,0,0
2021-06-13,23:00-00:00,772,0,0

2021-06-14,00:00-01:00,519,0,0
2021-06-14,01:00-02:00,150,0,0
2021-06-14,02:00-03:00,47,0,0
2021-06-14,03:00-04:00,537,0,0
2021-06-14,04:00-05:00,110,0,0
2021-06-14,05:00-06:00,210,0,0
2021-06-14,06:00-07:00,348,0,0
2021-06-14,07:00-08:00,500,0,0
2021-06-14,08:00-09:00,650,0,0
2021-06-14,09:00-10:00,79,0,0
2021-06-14,10:00-11:00,170,0,0
2021-06-14,11:00-12:00,881,0,0
2021-06-14,12:00-13:00,1090,0,0
2021-06-14,13:00-14:00,570,0,0
2021-06-14,14:00-15:00,555,0,0
2021-06-14,15:00-16:00,337,0,0
2021-06-14,16:00-17:00,372,0,0
2021-06-14,17:00-18:00,467,0,0
2021-06-14,18:00-19:00,671,0,0
2021-06-14,19:00-20:00,285,0,0
2021-06-14,20:00-21:00,595,0,0
2021-06-14,21:00-22:00,1574,0,0
2021-06-14,22:00-23:00,1350,0,0
2021-06-14,23:00-00:00,927,0,0

2021-06-15,00:00-01:00,1322,0,0
2021-06-15,01:00-02:00,853,0,0
2021-06-15,02:00-03:00,570,0,0
2021-06-15,03:00-04:00,587,0,0
2021-06-15,04:00-05:00,1048,0,0
2021-06-15,05:00-06:00,609,0,0
2021-06-15,06:00-07:00,535,0,0
2021-06-15,07:00-08:00,856,0,0
2021-06-15,08:00-09:00,791,0,0
2021-06-15,09:00-10:00,1300,0,0
2021-06-15,10:00-11:00,805,0,0
2021-06-15,11:00-12:00,471,0,0
2021-06-15,12:00-13:00,807,0,0
2021-06-15,13:00-14:00,1559,0,0
2021-06-15,14:00-15:00,1378,0,0
2021-06-15,15:00-16:00,989,0,0
2021-06-15,16:00-17:00,1269,0,0
2021-06-15,17:00-18:00,843,0,0
2021-06-15,18:00-19:00,804,0,0
2021-06-15,19:00-20:00,1473,0,0
2021-06-15,20:00-21:00,533,0,0
2021-06-15,21:00-22:00,584,0,0
2021-06-15,22:00-23:00,908,0,0
2021-06-15,23:00-00:00,942,0,0


,Total (Wh):,XXXXX
